id,name,tail_high,tail_low,ear_high,ear_low,nose_high,nose_low,time_stamp,latitude,longitude,only_in_version_1
1,slim,26,18,100,195,828,814,01/02/18 11:59 AM,78.4709548,37.9725379,1
2,spike,95,32,248,365,827,505,02/02/18 11:59 AM,77.5498974,88.6964536,2
3,mamacat,75,77,366,182,958,957,06/02/18 11:59 AM,70.3218623,8.1178271,3
4,babycat,63,83,339,262,620,720,04/02/18 11:59 AM,36.6354484,90.5033301,4
5,miko,21,5,141,122,869,820,05/02/18 11:59 AM,50.8293179,48.228652,5
6,WINSTON,50,57,275,159,852,579,06/02/18 11:59 AM,80.1045926,70.1437285,6
7,ZOE,28,64,138,210,782,949,07/02/18 11:59 AM,74.1912261,22.0803564,7
8,ANGEL,72,63,305,372,882,712,05/02/18 11:59 AM,67.5664208,98.7961406,8
9,BAXTER,28,63,275,258,976,766,09/02/18 11:59 AM,25.1885815,61.3746069,9
10,EMMA,85,3,431,343,667,548,10/02/18 11:59 AM,1.1819144,70.8762693,10
11,GIZMO,65,73,318,370,859,734,10/02/18 11:59 AM,66.3872157,93.2826303,11
12,HAZEL,99,55,285,294,519,864,12/02/18 11:59 AM,13.9473983,29.0777161,12
13,CHANCE,44,80,487,383,829,745,01/02/18 11:59 AM,44.755717,75.7820111,13
14,CHEWY,69,41,415,236,717,714,02/02/18 11:59 AM,9.8044521,56.9559359,14
15,HUNTER,3,100,375,186,825,673,03/02/18 11:59 AM,90.0881194,31.5972258,15
16,JACKSON,50,56,283,406,782,825,04/02/18 11:59 AM,69.5346226,32.0629875,16
17,MADDIE,72,53,317,356,717,543,05/02/18 11:59 AM,0.7190141,58.1542557,17
18,OTIS,61,76,449,372,929,602,06/02/18 11:59 AM,50.5280406,66.8782732,18
19,RAVEN,27,41,175,366,772,934,07/02/18 11:59 AM,27.1106307,81.4534908,19
20,TEDDY,92,26,434,277,544,997,08/02/18 11:59 AM,45.3258282,63.3999299,20
21,BO,39,97,224,498,818,853,09/02/18 11:59 AM,55.0523023,90.5288722,21
22,BUDDY,86,99,469,238,925,900,10/02/18 11:59 AM,69.3626475,3.2174517,22
23,MAX,6,21,461,124,718,664,11/02/18 11:59 AM,40.9976654,82.0839756,23
24,SADIE,55,39,319,240,864,953,12/02/18 11:59 AM,65.4117714,39.7227022,24
25,LUCY,15,30,370,177,778,781,01/02/18 11:59 AM,63.232402,24.1081069,25
26,BAILEY,86,52,427,214,888,573,02/02/18 11:59 AM,64.5767811,44.2578725,26
27,DAISY,45,75,140,154,624,709,06/02/18 11:59 AM,3.4875534,33.5214628,27
28,LUNA,96,88,257,482,659,873,04/02/18 11:59 AM,14.4987513,73.2499842,28
29,CHARLIE,65,95,280,308,764,859,05/02/18 11:59 AM,94.9191358,41.3123014,29
30,MAGGIE,4,34,395,281,712,858,06/02/18 11:59 AM,2.5604466,31.2108516,30
31,MOLLY,73,32,151,442,836,686,07/02/18 11:59 AM,64.6701687,17.0523752,31
32,COOPER,84,75,430,348,841,693,05/02/18 11:59 AM,88.7584306,5.29382,32
33,GINGER,7,0,418,408,572,877,09/02/18 11:59 AM,53.2160791,79.6481806,33
34,JACK,63,71,200,198,811,839,10/02/18 11:59 AM,28.929571,46.2869351,34
35,WILLOW,44,64,423,479,668,954,10/02/18 11:59 AM,58.5267588,31.653474,35
36,ABBY,12,30,251,300,824,597,12/02/18 11:59 AM,25.5316243,86.8629361,36
37,BEAR,72,76,264,470,890,851,01/02/18 11:59 AM,74.0668943,79.3300257,37
38,LILY,91,33,404,166,611,663,02/02/18 11:59 AM,28.4248963,88.1163482,38
39,DUKE,16,16,140,495,807,646,03/02/18 11:59 AM,52.6936586,72.505288,39
40,KODA,29,94,261,354,859,867,04/02/18 11:59 AM,91.6558514,12.1629301,40
41,ROCKY,25,91,169,178,845,811,05/02/18 11:59 AM,85.1849153,22.8119102,41
42,CHLOE,11,2,287,389,887,640,06/02/18 11:59 AM,33.9345113,9.7078492,42
43,KENAI,65,85,321,427,531,945,07/02/18 11:59 AM,26.4009241,25.1629825,43
44,HARLEY,41,44,341,232,857,529,08/02/18 11:59 AM,25.4856766,37.8620761,44
45,DENALI,80,50,211,475,820,925,09/02/18 11:59 AM,58.0113468,43.76972,45
46,TOBY,59,56,256,500,689,655,10/02/18 11:59 AM,78.5175084,52.961951,46
47,JAKE,54,21,211,269,568,670,11/02/18 11:59 AM,64.673362,87.7937482,47
48,LOKI,55,1,303,339,517,544,12/02/18 11:59 AM,38.5096647,55.6357958,48
49,RUBY,36,84,463,173,665,718,01/02/18 11:59 AM,21.2694251,19.3480212,49
50,ROXY,94,42,359,141,966,625,02/02/18 11:59 AM,58.0850369,21.9423339,50
51,LUCKY,85,80,447,386,771,978,06/02/18 11:59 AM,61.1530725,16.9993006,51
52,PENNY,17,33,152,158,818,598,04/02/18 11:59 AM,24.1631017,22.6380188,52
53,RILEY,97,10,163,295,863,946,05/02/18 11:59 AM,75.9795073,5.1254132,53
54,SHADOW,83,65,427,196,562,734,06/02/18 11:59 AM,44.6679292,17.7129068,54
55,SOPHIE,76,45,412,431,605,541,07/02/18 11:59 AM,66.6871961,40.2990727,55
56,LOLA,28,47,354,138,917,819,05/02/18 11:59 AM,45.5895159,88.0033008,56
57,ROSIE,42,30,492,325,765,949,09/02/18 11:59 AM,72.2852523,50.1577447,57
58,PEPPER,86,94,207,358,842,604,10/02/18 11:59 AM,68.5212645,39.3717729,58
